repo_full_name,repo_default_branch,file_path,nb_ok_parse,kernel_name,language,python_version_declared,exec_ok,error,exc_name,failed_cell_index,elapsed_s,original_found,outputs_equal,outputs_hash_orig,outputs_hash_exec,n_outputs_orig,n_outputs_exec
FedeleG/CARMINE-T2.4,main,Barcelona/Scripts/Chelsa_histo/SPI3.ipynb,True,python3,python,3.11.5,False,ModuleNotFoundError,,,1.306,True,False,0d9f8f509c05e9de55ef4fe0db72e6bd50f7b25a91f2500492063abf7eada1ff,,6,0
FedeleG/CARMINE-T2.4,main,Barcelona/Scripts/Chelsa_histo/Txx.ipynb,True,python3,python,3.11.5,False,ModuleNotFoundError,,,1.572,True,False,dc5c780c2531f1e3b2da4bd5f4bd4fe5f34e53dae1af4f4bea73823693559d7c,,11,0
Gayara-Fernando/BPM,main,0_Prepocessing_density_maps.ipynb,True,python3,python,3.10.14,False,ModuleNotFoundError,,,2.801,True,False,eeb30b164d74234aa01a0d90579f7f9fee6480a772bc33f4919a2deaf5096271,,318,0
Gayara-Fernando/BPM,main,0_Preprocessing_features.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.285,True,False,7495506230511d71514b3f78bb6d91295a4f48805ac14db711e573e9f19b4932,,32,0
Gayara-Fernando/BPM,main,0_Preprocessing_join_all_data.ipynb,True,python3,python,3.10.14,False,ModuleNotFoundError,,,1.66,True,False,ab272e9a1e29b472117ba9881a9c021aa1567e2128d336d2cdad00590233a8f1,,31,0
Gayara-Fernando/BPM,main,2_Inference_block_0103.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.332,True,False,39631f6a355c3a5fcf7fc52965758d3aa7599fc69b4954a7606f3edd842809fd,,39,0
Gayara-Fernando/BPM,main,2_Inference_block_0103_alt.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.302,True,False,f9747082e25482a36d889b2f15d9518f06d74db6e4b252e7f00fac5783a80d98,,51,0
Gayara-Fernando/BPM,main,2_Inference_block_0103_subwindow_level.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.275,True,False,d47a25302074da4ba8533af89331c9caf0cb9db971ed00485515e5f5fdc921a4,,84,0
Gayara-Fernando/BPM,main,2_Inference_block_0104.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.268,True,False,79e2bac1933d24d5dafa9414ebb3cc4dfec6c091e1492188934284f35280ab30,,41,0
Gayara-Fernando/BPM,main,2_Inference_block_0104_alt.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.259,True,False,1caecf2b9e1e399b0937125ac399759510d8a1f9326dea8ae97b555278a64d6f,,41,0
Gayara-Fernando/BPM,main,2_Inference_block_0104_subwindow_level.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.265,True,False,07a6a70fae8f0e32201f998bf477ea2f123bbd42e1ec46a6eaaea146a5e477a4,,85,0
Gayara-Fernando/BPM,main,2_Inference_block_0105.ipynb,True,python3,python,3.11.7,False,ModuleNotFoundError,,,1.253,True,False,fbf66b421d7cbc9de6338f2071536b13dd3141620c024c5023ea995fb13ceea5,,41,0
Jorge-sarcos2002/Logit-model-for-children-s-inassitance-,main,Determinantes_deserción_LosRíos (2).ipynb,True,python3,python,3.12.7,False,ModuleNotFoundError,,,2.489,False,,,,,0
KeevinPR/pybnesian_ainguraiiot,main,interactive_learning/ms/node_setting.ipynb,True,python3,python,3.12.0,False,ModuleNotFoundError,,,2.589,True,False,81a1529b28ebf3862d993a06c8d04325c1713fa7c69ec063230c3049cc2006a7,,5,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/keras/quickstart/quickstart-keras.ipynb,True,python3,python,3.8.13,False,ModuleNotFoundError,,,2.58,True,False,afacff3fd4d7cd090d971081cd64ed4ef83abcd0ee687b69f74dd9a1f1b7d822,,12,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/pytorch/quickstart/quickstart-pytorch.ipynb,True,python3,python,,False,TimeoutExpired,,,30.008,True,False,299f01e43f84406585636f7afba0b9e0fde3fdd351aba7c585b665648269e47e,,9,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/sentence-transformers/tutorials/paraphrase-mining/paraphrase-mining-sentence-transformers.ipynb,True,python3,python,3.8.13,False,ModuleNotFoundError,,,10.218,True,False,0e657d655cc221fddb2e85fc0a31a8bd2a6a176a18b7809a9acad072efe10b62,,6,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/sentence-transformers/tutorials/quickstart/sentence-transformers-quickstart.ipynb,True,python3,python,3.8.13,False,ModuleNotFoundError,,,1.33,True,False,4985a7fe49f515db6ec4b0c969d895155a9423ab2aac0bfe528646aa3834ff24,,7,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/sentence-transformers/tutorials/semantic-search/semantic-search-sentence-transformers.ipynb,True,python3,python,3.8.13,False,ModuleNotFoundError,,,1.705,True,False,d610c1592f325fbaf720883c857540fb096b855ccfbbcf03aaa31ace2b031d21,,8,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/sentence-transformers/tutorials/semantic-similarity/semantic-similarity-sentence-transformers.ipynb,True,python3,python,3.8.13,False,ModuleNotFoundError,,,1.706,True,False,426ec3aae0f643bff2d998689eef5bda51aae33be089886acc7adc0371dbdcd1,,7,0
Klomgor/mlflow,master,docs/docs/classic-ml/deep-learning/tensorflow/quickstart/quickstart-tensorflow.ipynb,True,python3,python,,False,ModuleNotFoundError,,,1.268,True,False,c720884c04b466343c301f5d9091eaa15b6ddf3445f9393a7a4f0a3c555b3cf0,,13,0
Komalbaghel08/python,master,Basics/.ipynb_checkpoints/identifier-checkpoint.ipynb,True,python3,python,3.12.7,False,SyntaxError,,,2.408,True,False,c79572fbd52a4ce9ee0ac16285da2f4217a0558bb9814c0012881900939ad9de,,4,0
LinderCa/NotebooksEstrategias,main,BreakOut_Indicator.ipynb,True,python3,python,3.12.7,False,ModuleNotFoundError,,,2.352,True,False,3b2c80c1f2da3d85ffed73eaeb8d953c052119828025f97e2f722d4104bbbd41,,15,0
LinderCa/NotebooksEstrategias,main,BreakOut_alcista.ipynb,True,python3,python,3.12.3,False,ModuleNotFoundError,,,1.557,True,False,fdc2504647ed27c7121969915668e1c004d1d69fb58b3abd400b690bbb0e6ab7,,8,0
LinderCa/NotebooksEstrategias,main,CNCF_CaidaNormalCaidaFuerte.ipynb,True,python3,python,3.12.7,False,ModuleNotFoundError,,,1.472,True,False,69ebed46b6e50f1708b4ad700a7cfbe6d059642837b146e3aa3f6694e1a23075,,14,0
LinderCa/NotebooksEstrategias,main,PM40_PromedioMovil40.ipynb,True,python3,python,3.12.3,False,ModuleNotFoundError,,,1.265,True,False,660291480c7d58a5cb7c11b5533baf805ea0c04bd4bf7a22afabe43964186388,,12,0
LinderCa/NotebooksEstrategias,main,PrimerGapAlza.ipynb,True,python3,python,3.12.3,False,ModuleNotFoundError,,,1.488,True,False,43398a981b6b36518122398661fd308600ee2348e96cca24860b17ea6c2762f7,,11,0
LinderCa/NotebooksEstrategias,main,downLoadDataRealtimeAlpha.ipynb.ipynb_out.ipynb,True,python3,python,3.10.18,False,ModuleNotFoundError,,,1.741,True,False,c55ccee970f28652c7fcf38103b5b90227b9fdbe36bbc9dfafb204f9a2e9bf2a,,3,0
LinderCa/NotebooksEstrategias,main,downloadDataHistYF.ipynb,True,python3,python,3.12.3,False,ModuleNotFoundError,,,1.32,True,False,cc9ea2283a25cd8065d82138c44670ed1de08cc332549f08972573b110953794,,4,0
LinderCa/NotebooksEstrategias,main,downloadDataHistYF.ipynb_out.ipynb,True,python3,python,3.10.18,False,ModuleNotFoundError,,,1.299,True,False,1d25c7c80c1ded610c7aa5af0196971ecbace94dc6373ab806079062c366f468,,138,0
LinderCa/NotebooksEstrategias,main,pisoFuerte.ipynb,True,python3,python,3.12.3,False,ModuleNotFoundError,,,1.263,True,False,f30a44b782588f12e0c0c3c0340d9d1704bd9bdb7742c78b92439a4c8512ed47,,10,0
Lollith/Python-2DGC-Alignment,main,archives/2-Hexenal.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,4.087,True,False,bbae29772d875ef1c9c3dc311c360765587978a7b7a36986146a4be3f26a5e7d,,87,0
Lollith/Python-2DGC-Alignment,main,archives/Untitled-1.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,3.487,True,False,a3fa8cc5408b10ffac3b004da24baeda8afb4664b97e32eeb24d22c1a52cb109,,69,0
